Final.Index,Authors,Pub.Year,Journal,Vol.p-p,Study.ID,Species,Taxon.group,Study.type,Year.span,Year,Population,Lat.Decimal.Degrees,Long.Decimal.Degrees,TemporalDataset,SpatialDataset,GenericYr,GenericSpp,Season,Generic.Population,Trait,Sex,Age,Fitness.Measure,Trait.Name,Trait.Class,Generic.Trait.Class,Fitness.Measure.Defined,Fit.Comp,N,Grad.linear.value,Grad.linear.StErr,Grad.linear.p-value,Grad.quad.value,Grad.quad.StErr,Grad.quad.p-value,Diff.linear.value,Diff.linear.StErr,Diff.linear.p-value,Diff.quad.value,Diff.quad.StErr,Diff.quad.p-value
2080,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Nov-86,1986,Dickson Spring,37.6922,-80.4722,72,14,1,1,11,5,5,1,1,3,second antennal peduncle length,OtherMO,OMO,fecundity,F,56,0.34,,,,,,,,,,,
2081,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Nov-86,1986,Dickson Spring,37.6922,-80.4722,73,15,1,1,11,5,6,1,1,3,first antennal flagellar segment number,OtherMO,OMO,fecundity,F,56,-0.05,,,,,,,,,,,
2082,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-87,1987,Dickson Spring,37.6922,-80.4722,54,0,1,1,2,5,1,1,1,3,head length,OtherMO,OMO,fecundity,F,73,0.13,,<0.05,,,,,,,,,
2083,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-87,1987,Dickson Spring,37.6922,-80.4722,55,0,1,1,2,5,3,1,1,3,ommatidia number,OtherMO,OMO,fecundity,F,73,0.2,,<0.05,,,,,,,,,
2084,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-87,1987,Dickson Spring,37.6922,-80.4722,56,0,1,1,2,5,4,1,1,3,first antennal peduncle length,OtherMO,OMO,fecundity,F,73,-0.21,,<0.05,,,,,,,,,
2085,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-87,1987,Dickson Spring,37.6922,-80.4722,57,0,1,1,2,5,5,1,1,3,second antennal peduncle length,OtherMO,OMO,fecundity,F,73,0.17,,<0.05,,,,,,,,,
2086,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-87,1987,Dickson Spring,37.6922,-80.4722,58,0,1,1,2,5,6,1,1,3,first antennal flagellar segment number,OtherMO,OMO,fecundity,F,73,0.16,,,,,,,,,,,
2087,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,May-87,1987,Dickson Spring,37.6922,-80.4722,0,35,1,1,5,5,1,1,1,3,head length,OtherMO,OMO,fecundity,F,112,0.44,,<0.05,,,,,,,,,
2088,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,May-87,1987,Dickson Spring,37.6922,-80.4722,0,36,1,1,5,5,3,1,1,3,ommatidia number,OtherMO,OMO,fecundity,F,112,-0.03,,,,,,,,,,,
2089,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,May-87,1987,Dickson Spring,37.6922,-80.4722,0,37,1,1,5,5,4,1,1,3,first antennal peduncle length,OtherMO,OMO,fecundity,F,112,0.09,,,,,,,,,,,
2090,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,May-87,1987,Dickson Spring,37.6922,-80.4722,0,38,1,1,5,5,5,1,1,3,second antennal peduncle length,OtherMO,OMO,fecundity,F,112,0.15,,<0.05,,,,,,,,,
2091,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,May-87,1987,Dickson Spring,37.6922,-80.4722,0,0,1,1,5,5,6,1,1,3,first antennal flagellar segment number,OtherMO,OMO,fecundity,F,112,0.05,,,,,,,,,,,
2092,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Aug-87,1987,Dickson Spring,37.6922,-80.4722,0,49,1,1,8,5,1,1,1,3,head length,OtherMO,OMO,fecundity,F,87,0.23,,<0.05,,,,,,,,,
2093,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Aug-87,1987,Dickson Spring,37.6922,-80.4722,0,50,1,1,8,5,3,1,1,3,ommatidia number,OtherMO,OMO,fecundity,F,87,0.02,,,,,,,,,,,
2094,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Aug-87,1987,Dickson Spring,37.6922,-80.4722,0,51,1,1,8,5,4,1,1,3,first antennal peduncle length,OtherMO,OMO,fecundity,F,87,0.01,,,,,,,,,,,
2095,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Aug-87,1987,Dickson Spring,37.6922,-80.4722,0,52,1,1,8,5,5,1,1,3,second antennal peduncle length,OtherMO,OMO,fecundity,F,87,0.13,,,,,,,,,,,
2096,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Aug-87,1987,Dickson Spring,37.6922,-80.4722,0,53,1,1,8,5,6,1,1,3,first antennal flagellar segment number,OtherMO,OMO,fecundity,F,87,0.01,,,,,,,,,,,
2097,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Nov-87,1987,Dickson Spring,37.6922,-80.4722,69,64,1,1,11,5,1,1,1,3,head length,OtherMO,OMO,fecundity,F,55,0.33,,<0.05,,,,,,,,,
2098,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Nov-87,1987,Dickson Spring,37.6922,-80.4722,70,65,1,1,11,5,3,1,1,3,ommatidia number,OtherMO,OMO,fecundity,F,55,0.04,,,,,,,,,,,
2099,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Nov-87,1987,Dickson Spring,37.6922,-80.4722,71,66,1,1,11,5,4,1,1,3,first antennal peduncle length,OtherMO,OMO,fecundity,F,55,0.09,,,,,,,,,,,
2100,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Nov-87,1987,Dickson Spring,37.6922,-80.4722,72,67,1,1,11,5,5,1,1,3,second antennal peduncle length,OtherMO,OMO,fecundity,F,55,-0.02,,,,,,,,,,,
2101,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Nov-87,1987,Dickson Spring,37.6922,-80.4722,73,68,1,1,11,5,6,1,1,3,first antennal flagellar segment number,OtherMO,OMO,fecundity,F,55,-0.07,,,,,,,,,,,
2102,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-88,1988,Dickson Spring,37.6922,-80.4722,54,0,1,1,2,5,1,1,1,3,head length,OtherMO,OMO,fecundity,F,141,0.26,,<0.05,,,,,,,,,
2103,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-88,1988,Dickson Spring,37.6922,-80.4722,55,0,1,1,2,5,3,1,1,3,ommatidia number,OtherMO,OMO,fecundity,F,141,-0.04,,,,,,,,,,,
2104,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-88,1988,Dickson Spring,37.6922,-80.4722,56,0,1,1,2,5,4,1,1,3,first antennal peduncle length,OtherMO,OMO,fecundity,F,141,0.09,,,,,,,,,,,
2105,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-88,1988,Dickson Spring,37.6922,-80.4722,57,0,1,1,2,5,5,1,1,3,second antennal peduncle length,OtherMO,OMO,fecundity,F,141,0.09,,,,,,,,,,,
2106,Jones et al. ,1992,Evolution,46(2):353-365,44,Gammarus minus,I,C,Feb-88,1988,Dickson Spring,37.6922,-80.4722,58,0,1,1,2,5,6,1,1,3,first antennal flagellar segment number,OtherMO,OMO,fecundity,F,141,0.05,,,,,,,,,,,
2107,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Stream Population,53.1772,-3.0301,0,1,1,1,1,1,1,1,1,1,Size,Size,Size,mating success,M,,,,,,,,0.46,0.06,<0.001,,,
2108,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Stream Population,53.1772,-3.0301,0,2,1,1,1,1,1,2,1,1,Size,Size,Size,mating success,M,,,,,,,,0.12,0.07,,,,
2109,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Stream Population,53.1772,-3.0301,0,3,1,1,1,1,1,1,1,2,Size,Size,Size,fecundity,F,,,,,,,,0.09,0.05,,,,
2110,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Stream Population,53.1772,-3.0301,0,4,1,1,1,1,1,2,1,2,Size,Size,Size,fecundity,F,,,,,,,,0.15,0.03,<0.01,,,
2111,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Pond Population,53.3166,-3.0214,0,1,1,1,1,2,1,1,1,1,Size,Size,Size,mating success,M,,,,,,,,0.21,0.08,<0.05,,,
2112,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Pond Population,53.3166,-3.0214,0,2,1,1,1,2,1,2,1,1,Size,Size,Size,mating success,M,,,,,,,,-0.14,0.12,,,,
2113,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Pond Population,53.3166,-3.0214,0,3,1,1,1,2,1,1,1,2,Size,Size,Size,fecundity,F,,,,,,,,0.07,0.1,,,,
2114,Ward,1988,American Naturalist,131:348-359,45,Gammarus pulex,I,C,1981-1982,1981,Pond Population,53.3166,-3.0214,0,4,1,1,1,2,1,2,1,2,Size,Size,Size,fecundity,F,,,,,,,,0.08,0.02,<0.01,,,
2115,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2005,2003,Hansen,59.3217,-158.7014,0,1,1,1,1,1,1,1,1,1,Body Length,Size,Size,reproductive success,M,387,-0.14,,0.085,0.559,,0.537,-0.143,,0.078,0.217,,0.551
2116,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2005,2003,Hansen,59.3217,-158.7014,0,2,1,1,1,1,2,1,1,1,Residual jaw length,OtherMO,OMO,reproductive success,M,240,0.052,,0.432,-0.037,,0.479,0.055,,0.415,-0.105,,0.405
2117,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2005,2003,Hansen,59.3217,-158.7014,0,3,1,1,1,1,3,1,1,1,Residual body depth,Size,Size,reproductive success,M,228,-0.085,,0.309,0.066,,0.493,-0.041,,0.46,-0.031,,0.521
2118,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2004,2003,Yako,59.2761,-158.705,0,1,1,1,1,2,1,1,1,1,Body Length,Size,Size,reproductive success,M,205,0.08,,0.043,-0.848,,0.503,0.077,,0.052,-0.875,,0.5
2119,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2004,2003,Yako,59.2761,-158.705,0,2,1,1,1,2,2,1,1,1,Residual jaw length,OtherMO,OMO,reproductive success,M,202,-0.072,,0.071,-0.067,,0.448,-0.069,,0.087,-0.075,,0.348
2120,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2004,2003,Yako,59.2761,-158.705,0,3,1,1,1,2,3,1,1,1,Residual body depth,Size,Size,reproductive success,M,146,-0.055,,0.183,0.018,,0.48,-0.055,,0.18,0.018,,0.473
2121,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2004,2003,Bear,59.3217,-158.7014,0,1,1,1,1,3,1,1,1,1,Body Length,Size,Size,reproductive success,M,262,0.161,,<0.001,0.05,,0.462,0.16,,<0.001,0.262,,0.446
2122,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2004,2003,Bear,59.3217,-158.7014,0,2,1,1,1,3,2,1,1,1,Residual jaw length,OtherMO,OMO,reproductive success,M,262,-0.034,,0.183,-0.002,,0.53,-0.031,,0.25,0.035,,0.382
2123,Carlson et al.,2009,Evolution,63(5): 1244-1261,46,Oncorhynchus nerka,V,C,2003-2004,2003,Bear,59.3217,-158.7014,0,3,1,1,1,3,3,1,1,1,Residual body depth,Size,Size,reproductive success,M,170,0.025,,0.351,-0.08,,0.251,0.021,,0.39,-0.02,,0.358
2124,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1983,1983,Mass Release,,,0,0,1,1,1,1,1,1,1,1,DB (dors blotches),OtherMO,OMO,survival,S,317,-0.3,0.13,<.05,0.14,0.07,<.05,-0.35,,<.01,0.12,,<.001
2125,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1983,1983,Mass Release,,,0,0,1,1,1,1,2,1,1,1,LB (lat blotches),OtherMO,OMO,survival,S,317,-0.27,0.15,ns,-0.04,0.1,ns,-0.25,,<.05,0,,ns
2126,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1983,1983,Mass Release,,,0,0,1,1,1,1,3,1,1,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,317,0.01,0.15,ns,-0.05,0.18,ns,-0.03,,ns,-0.03,,ns
2127,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1983,1983,Mass Release,,,0,0,1,1,1,1,4,1,1,1,VEXT extent of venter,OtherMO,OMO,survival,S,317,0.16,0.14,ns,-0.35,0.16,<.05,-0.03,,ns,-0.27,,<.05
2128,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1982-1983,1982,Pelee Island,41.7531,-82.6311,9,0,2,1,1,2,1,1,2,1,DB (dors blotches),OtherMO,OMO,survival,S,36,-0.14,0.06,ns,0.15,0.09,ns,-0.11,,ns,0.04,,ns
2129,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1982-1983,1982,Pelee Island,41.7531,-82.6311,10,0,2,1,1,2,2,1,2,1,LB (lat blotches),OtherMO,OMO,survival,S,36,0.07,0.06,ns,0.12,0.1,ns,0.02,,ns,-0.02,,ns
2130,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1982-1983,1982,Pelee Island,41.7531,-82.6311,11,0,2,1,1,2,3,1,2,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,36,-0.02,0.05,ns,0.02,0.09,ns,0.04,,ns,-0.05,,ns
2131,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1982-1983,1982,Pelee Island,41.7531,-82.6311,12,0,2,1,1,2,4,1,2,1,VEXT extent of venter,OtherMO,OMO,survival,S,36,0.12,0.05,<.05,0.1,0.07,ns,0.13,,<.05,-0.01,,ns
2132,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,Pelee Island,41.7531,-82.6311,9,9,3,1,1,2,1,1,2,1,DB (dors blotches),OtherMO,OMO,survival,S,68,-0.05,0.05,ns,0.05,0.06,ns,-0.12,,<.01,0.04,,<.05
2133,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,Pelee Island,41.7531,-82.6311,10,10,3,1,1,2,2,1,2,1,LB (lat blotches),OtherMO,OMO,survival,S,68,-0.16,0.05,<.05,0.05,0.04,ns,-0.16,,<.001,0.07,,<.05
2134,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,Pelee Island,41.7531,-82.6311,11,11,3,1,1,2,3,1,2,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,68,0.03,0.04,ns,0.01,0.06,ns,-0.04,,ns,0.07,,ns
2135,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,Pelee Island,41.7531,-82.6311,12,12,3,1,1,2,4,1,2,1,VEXT extent of venter,OtherMO,OMO,survival,S,68,0.05,0.04,ns,-0.02,0.04,ns,0.02,,ns,-0.03,,ns
2136,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1990-1991,1990,Pelee Island,41.7531,-82.6311,9,0,4,1,1,2,1,1,2,1,DB (dors blotches),OtherMO,OMO,survival,S,57,0.03,0.05,ns,0,0.03,ns,-0.05,,ns,0.01,,ns
2137,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1990-1991,1990,Pelee Island,41.7531,-82.6311,10,0,4,1,1,2,2,1,2,1,LB (lat blotches),OtherMO,OMO,survival,S,57,-0.19,0.06,<.01,0.14,0.09,ns,-0.13,,<.01,0.06,,ns
2138,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1990-1991,1990,Pelee Island,41.7531,-82.6311,11,0,4,1,1,2,3,1,2,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,57,0.07,0.06,ns,0.2,0.08,<.05,-0.05,,ns,0.11,,<.01
2139,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1990-1991,1990,Pelee Island,41.7531,-82.6311,12,0,4,1,1,2,4,1,2,1,VEXT extent of venter,OtherMO,OMO,survival,S,57,0.01,0.05,ns,-0.01,0.03,ns,0.01,,ns,-0.02,,ns
2140,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,North Bass Island,41.7144,-82.8194,0,9,3,1,1,3,1,1,2,1,DB (dors blotches),OtherMO,OMO,survival,S,27,-0.01,0.09,ns,0.07,0.13,ns,-0.04,,ns,0.03,,ns
2141,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,North Bass Island,41.7144,-82.8194,0,10,3,1,1,3,2,1,2,1,LB (lat blotches),OtherMO,OMO,survival,S,27,-0.2,0.09,ns,-0.11,0.21,ns,-0.12,,ns,0.01,,ns
2142,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,North Bass Island,41.7144,-82.8194,0,11,3,1,1,3,3,1,2,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,27,0.04,0.09,ns,-0.07,0.12,ns,-0.01,,ns,0.02,,ns
2143,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,L,1989-1990,1989,North Bass Island,41.7144,-82.8194,0,12,3,1,1,3,4,1,2,1,VEXT extent of venter,OtherMO,OMO,survival,S,27,0.12,0.09,ns,0.24,0.13,ns,0.02,,ns,0.08,,ns
2144,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,1,1,3,1,DB (dors blotches),OtherMO,OMO,survival,S,104,0.07,0.04,ns,0.03,0.06,ns,-0.01,,ns,-0.01,,ns
2145,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,2,1,3,1,LB (lat blotches),OtherMO,OMO,survival,S,104,-0.08,0.05,ns,-0.06,0.07,ns,-0.06,,ns,-0.01,,ns
2146,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,3,1,3,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,104,-0.03,0.05,ns,0,0.06,ns,-0.05,,ns,-0.01,,ns
2147,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,4,1,3,1,VEXT extent of venter,OtherMO,OMO,survival,S,104,0,0.03,ns,0.04,0.04,ns,-0.02,,ns,-0.01,,ns
2148,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,1,1,3,1,DB (dors blotches),OtherMO,OMO,survival,S,133,0.02,0.04,ns,0.02,0.05,ns,-0.03,,ns,0.03,,ns
2149,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,2,1,3,1,LB (lat blotches),OtherMO,OMO,survival,S,133,-0.07,0.05,ns,-0.02,0.06,ns,-0.07,,<.05,0.02,,ns
2150,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,3,1,3,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,133,-0.01,0.04,ns,-0.09,0.07,ns,-0.05,,ns,0.02,,ns
2151,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,4,1,3,1,VEXT extent of venter,OtherMO,OMO,survival,S,133,-0.01,0.03,ns,-0.05,0.03,<.05,-0.02,,ns,-0.04,,ns
2152,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,Middle Bass Island,41.6819,-82.8094,0,1,7,1,1,4,1,1,3,1,DB (dors blotches),OtherMO,OMO,survival,S,51,0.02,0.07,ns,-0.01,0.09,ns,-0.02,,ns,0,,ns
2153,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,Middle Bass Island,41.6819,-82.8094,0,2,7,1,1,4,2,1,3,1,LB (lat blotches),OtherMO,OMO,survival,S,51,-0.07,0.08,ns,-0.18,0.16,ns,-0.04,,ns,0.01,,ns
2154,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,Middle Bass Island,41.6819,-82.8094,0,3,7,1,1,4,3,1,3,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,51,-0.01,0.07,ns,-0.32,0.19,ns,-0.02,,ns,0,,ns
2155,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,Middle Bass Island,41.6819,-82.8094,0,4,7,1,1,4,4,1,3,1,VEXT extent of venter,OtherMO,OMO,survival,S,51,0.06,0.05,ns,-0.04,0.06,ns,-0.04,,ns,0.01,,ns
2156,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,North Bass Island,41.7144,-82.8194,1,1,7,1,1,3,1,1,3,1,DB (dors blotches),OtherMO,OMO,survival,S,55,0.13,0.05,<.01,-0.15,0.08,ns,0.05,,ns,-0.06,,<.05
2157,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,North Bass Island,41.7144,-82.8194,2,2,7,1,1,3,2,1,3,1,LB (lat blotches),OtherMO,OMO,survival,S,55,-0.14,0.05,<.01,0.06,0.06,ns,-0.09,,<.05,0.02,,ns
2158,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,North Bass Island,41.7144,-82.8194,3,3,7,1,1,3,3,1,3,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,55,-0.04,0.05,ns,-0.08,0.07,ns,-0.04,,ns,-0.1,,<.05
2159,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,North Bass Island,41.7144,-82.8194,4,4,7,1,1,3,4,1,3,1,VEXT extent of venter,OtherMO,OMO,survival,S,55,0.05,0.04,ns,-0.04,0.05,ns,0.08,,ns,0.01,,ns
2160,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1988-1991,1988,North Bass Island,41.7144,-82.8194,1,0,8,1,1,3,1,1,3,1,DB (dors blotches),OtherMO,OMO,survival,S,43,-0.02,0.06,ns,0.11,0.17,ns,0.02,,ns,-0.01,,ns
2161,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1988-1991,1988,North Bass Island,41.7144,-82.8194,2,0,8,1,1,3,2,1,3,1,LB (lat blotches),OtherMO,OMO,survival,S,43,0.06,0.07,ns,-0.05,0.12,ns,0.07,,ns,-0.02,,ns
2162,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1988-1991,1988,North Bass Island,41.7144,-82.8194,3,0,8,1,1,3,3,1,3,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,43,0.03,0.07,ns,-0.01,0.16,ns,0.07,,ns,-0.01,,ns
2163,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1988-1991,1988,North Bass Island,41.7144,-82.8194,4,0,8,1,1,3,4,1,3,1,VEXT extent of venter,OtherMO,OMO,survival,S,43,-0.01,0.06,ns,-0.02,0.07,ns,0.02,,ns,-0.04,,ns
2164,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,1,1,4,1,DB (dors blotches),OtherMO,OMO,survival,S,167,0.01,0.02,ns,0.02,0.02,ns,0.01,,ns,0,,ns
2165,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,2,1,4,1,LB (lat blotches),OtherMO,OMO,survival,S,167,0.02,0.02,ns,0.02,0.03,ns,0.01,,ns,0.01,,ns
2166,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,3,1,4,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,167,-0.03,0.02,ns,-0.05,0.03,ns,0,,ns,0,,ns
2167,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1985,1981,Pelee Island,41.7531,-82.6311,0,0,5,1,1,2,4,1,4,1,VEXT extent of venter,OtherMO,OMO,survival,S,167,0.03,0.01,<.05,-0.04,0.01,<.01,0.03,,<.05,-0.04,,<.01
2168,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,1,1,4,1,DB (dors blotches),OtherMO,OMO,survival,S,171,-0.05,0.02,<.01,-0.04,0.02,ns,0,,ns,-0.01,,ns
2169,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,2,1,4,1,LB (lat blotches),OtherMO,OMO,survival,S,171,0.02,0.02,ns,-0.04,0.03,ns,0.03,,<.05,-0.01,,ns
2170,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,3,1,4,1,ROWS (ht of lat blot),OtherMO,OMO,survival,S,171,0.05,0.02,<.05,-0.02,0.04,ns,0.04,,<.01,-0.02,,ns
2171,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1989-1991,1989,Pelee Island,41.7531,-82.6311,0,0,6,1,1,2,4,1,4,1,VEXT extent of venter,OtherMO,OMO,survival,S,171,0.03,0.01,<.05,0.01,0.01,ns,0.04,,<.01,-0.01,,ns
2172,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,Middle Bass Island,41.6819,-82.8094,0,5,7,1,1,4,1,1,4,1,DB (dors blotches),OtherMO,OMO,survival,S,97,-0.01,0.02,ns,-0.02,0.02,ns,-0.01,,ns,0,,ns
2173,King,1993,Evolution,47(6):1819-1833,47,Nerodia sipedon,V,C,1981-1984,1981,Middle Bass Island,41.6819,-82.8094,0,6,7,1,1,4,2,1,4,1,LB (lat blotches),OtherMO,OMO,survival,S,97,-0.04,0.03,ns,0.02,0.06,ns,-0.01,,ns,0.01,,ns
