Final.Index,Authors,Pub.Year,Journal,Vol.p-p,Study.ID,Species,Taxon.group,Study.type,Year.span,Year,Population,Lat.Decimal.Degrees,Long.Decimal.Degrees,TemporalDataset,SpatialDataset,GenericYr,GenericSpp,Season,Generic.Population,Trait,Sex,Age,Fitness.Measure,Trait.Name,Trait.Class,Generic.Trait.Class,Fitness.Measure.Defined,Fit.Comp,N,Grad.linear.value,Grad.linear.StErr,Grad.linear.p-value,Grad.quad.value,Grad.quad.StErr,Grad.quad.p-value,Diff.linear.value,Diff.linear.StErr,Diff.linear.p-value,Diff.quad.value,Diff.quad.StErr,Diff.quad.p-value
22,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1998,1998,Caurel,42.6,-7.3167,2,2,1,1,1,1,2,1,1,1,number of carpels per flower,OtherLH,OLH,maternal fecundity,F,,0.09,0.04,<0.05,,,,,,,,,
23,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1998,1998,Caurel,42.6,-7.3167,3,3,1,1,1,1,3,1,1,1,flower size,OtherMO,OMO,maternal fecundity,F,,-0.02,0.04,ns,,,,,,,,,
24,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1998,1998,Caurel,42.6,-7.3167,4,4,1,1,1,1,4,1,1,1,number of flowers,OtherLH,OLH,maternal fecundity,F,,0.39,0.06,<0.05,,,,,,,,,
25,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Caurel,42.6,-7.3167,1,5,2,1,1,1,1,1,1,1,plant size,Size,Size,maternal fecundity,F,,-0.04,0.04,ns,,,,,,,,,
26,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Caurel,42.6,-7.3167,2,6,2,1,1,1,2,1,1,1,number of carpels per flower,OtherLH,OLH,maternal fecundity,F,,-0.01,0.02,ns,,,,,,,,,
27,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Caurel,42.6,-7.3167,3,7,2,1,1,1,3,1,1,1,flower size,OtherMO,OMO,maternal fecundity,F,,0.06,0.02,<0.05,,,,,,,,,
28,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Caurel,42.6,-7.3167,4,8,2,1,1,1,4,1,1,1,number of flowers,OtherLH,OLH,maternal fecundity,F,,0.45,0.03,<0.05,,,,,,,,,
29,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1998,1998,Magina,37.7333,-3.25,5,1,1,1,1,2,1,1,1,1,plant size,Size,Size,maternal fecundity,F,,-0.07,0.22,ns,,,,,,,,,
30,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1998,1998,Magina,37.7333,-3.25,6,2,1,1,1,2,2,1,1,1,number of carpels per flower,OtherLH,OLH,maternal fecundity,F,,-0.12,0.14,ns,,,,,,,,,
31,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1998,1998,Magina,37.7333,-3.25,7,3,1,1,1,2,3,1,1,1,flower size,OtherMO,OMO,maternal fecundity,F,,0.23,0.11,<0.05,,,,,,,,,
32,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1998,1998,Magina,37.7333,-3.25,8,4,1,1,1,2,4,1,1,1,number of flowers,OtherLH,OLH,maternal fecundity,F,,0.41,0.19,<0.05,,,,,,,,,
33,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Magina,37.7333,-3.25,5,5,2,1,1,2,1,1,1,1,plant size,Size,Size,maternal fecundity,F,,-0.07,0.21,ns,,,,,,,,,
34,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Magina,37.7333,-3.25,6,6,2,1,1,2,2,1,1,1,number of carpels per flower,OtherLH,OLH,maternal fecundity,F,,0.36,0.07,<0.05,,,,,,,,,
35,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Magina,37.7333,-3.25,7,7,2,1,1,2,3,1,1,1,flower size,OtherMO,OMO,maternal fecundity,F,,0.04,0.08,ns,,,,,,,,,
36,Rey et al.,2006,Journal of Evolutionary Biology,19:21-34,2,Helleborus foetidus,P,L,1999,1999,Magina,37.7333,-3.25,8,8,2,1,1,2,4,1,1,1,number of flowers,OtherLH,OLH,maternal fecundity,F,,0.6,0.22,<0.05,,,,,,,,,
37,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1980,1980,Gr_dby,56.0834,14.5264,1,1,1,1,1,1,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,116,-0.01,,ns,0,,ns,-0.523,,ns,,,
38,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1981,1981,Gr_dby,56.0834,14.5264,1,2,2,1,1,1,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,235,-0.018,,<0.001,-0.002,,<0.01,-1.256,,<0.01,,,
39,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1982,1982,Gr_dby,56.0834,14.5264,1,3,3,1,1,1,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,94,-0.034,,<0.001,-0.006,,<0.05,-1.378,,<0.001,,,
40,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1984,1984,Gr_dby,56.0834,14.5264,1,0,5,1,1,1,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,202,-0.001,,ns,-0.006,,ns,-0.031,,ns,,,
41,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1986,1986,Gr_dby,56.0834,14.5264,1,0,7,1,1,1,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,49,-0.012,,ns,-0.01,,<0.05,-0.068,,ns,,,
42,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1980,1980,Tosteberga,56.014,14.4583,2,1,1,1,1,2,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,137,-0.046,,<0.001,0,,ns,-1.034,,<0.001,,,
43,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1981,1981,Tosteberga,56.014,14.4583,2,2,2,1,1,2,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,52,-0.074,,<0.001,-0.14,,ns,-1.895,,<0.001,,,
44,Widen,1991,Oikos,61(2):205-215,3,Senecio integrifolius,P,L,1982,1982,Tosteberga,56.014,14.4583,2,3,3,1,1,2,1,1,1,1,phenological rank order,Phenology,Phenology,seed production,F,91,-0.03,,<0.01,-0.01,,ns,-0.819,,<0.01,,,
45,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1990,1990,Barb's marsh,44.5239,-76.3739,1,0,1,1,1,1,1,1,1,1,body size,Size,Size,number of mating aggregations,M,40,0.45,,<0.01,-0.04,,ns,,,,,,
46,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1991,1991,Barb's marsh,44.5239,-76.3739,1,0,2,1,1,1,1,1,1,1,body size,Size,Size,number of mating aggregations,M,34,0.14,,ns,-0.26,,ns,,,,,,
47,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1992,1992,Barb's marsh,44.5239,-76.3739,1,0,3,1,1,1,1,1,1,1,body size,Size,Size,number of mating aggregations,M,33,0.64,,<0.05,-0.09,,ns,,,,,,
48,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1993,1993,Barb's marsh,44.5239,-76.3739,1,0,4,1,1,1,1,1,1,1,body size,Size,Size,number of mating aggregations,M,33,0.93,,<0.01,-0.36,,ns,,,,,,
49,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1994,1994,Barb's marsh,44.5239,-76.3739,1,1,5,1,1,1,1,1,1,1,body size,Size,Size,number of mating aggregations,M,33,0.14,,ns,-0.29,,ns,,,,,,
50,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1995,1995,Barb's marsh,44.5239,-76.3739,1,2,6,1,1,1,1,1,1,1,body size,Size,Size,number of mating aggregations,M,25,1.15,,<0.01,0.14,,ns,,,,,,
51,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1996,1996,Barb's marsh,44.5239,-76.3739,1,3,7,1,1,1,1,1,1,1,body size,Size,Size,number of mating aggregations,M,27,0.29,,ns,-0.35,,ns,,,,,,
52,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1990,1990,Barb's marsh,44.5239,-76.3739,2,0,1,1,1,1,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,40,0.43,,<0.01,,,,,,,,,
53,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1991,1991,Barb's marsh,44.5239,-76.3739,2,0,2,1,1,1,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,34,-0.21,,ns,,,,,,,,,
54,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1992,1992,Barb's marsh,44.5239,-76.3739,2,0,3,1,1,1,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,33,0.1,,ns,,,,,,,,,
55,Brown and Weatherhead,1999,Behavioral Ecology and Sociobiology ,47:9-16,4,Nerodia sipedon,V,L,1993,1993,Barb's marsh,44.5239,-76.3739,2,0,4,1,1,1,2,1,1,1,fat content,OtherMO,OMO,number of mating aggregations,M,33,0.4,,ns,,,,,,,,,
